given_names,family_name,orcid,country,taxa
Lucio,Bonato,0000-0002-8312-7570,,"(Chilopoda, Algerophilus, Anura, Arrupinae, Bufo viridis, Bufonidae, Caudata, Centipedes, Chalandea, Chilopoda, Chilopoda geophilomorpha, Chomatobius, Dicellophilus, Dicellophilus carniolensis, Dinogeophilus, Epimorpha, Eurygeophilus, Geophilidae, Geophilomorpha, Geophilomorpha (Chilopoda), Geophilus, Geophilus arenarius, Geophilus hadesi, Geophilus pygmaeus, Ityphilus, Lepidoptera, Leptidea, Linotaeniidae, Malesia, Mecistocephalidae, Mecistocephalus, Mecistocephalus guildingii, Mecistocephalus microporus, Mesogeophilus, Pieridae, Plateurytion, S. atra pasubiensis, Salamandra atra, Salamandra atra aurorae, Salamandridae, Steneurytion, Stenotaenia, Stigmatogaster subterranea, Strigamia"
Jason,Bond,0000-0001-6373-3875,,"Anadenobolus, Anadenobolus excisus, Andrognathidae, Annelida, Antrodiaetidae, Antrodiaetus, Antrodiaetus unicolor, Apheloriini, Aphonopelma, Aphonopelma hentzi, Aphonopelma mojave, Apomastus, Aptostichus, Aptostichus simus, Arachnida, Araneae, Arthropoda, Brachycybe, Caponiidae, Coleoptera, Ctenizidae, Cyrtaucheniidae, Dictynidae, Diplopoda, Eucteniza, Euctenizidae, Euctenizinae, Eurhinocricus rosenbergi, Hesperoperla pacifica, Hymenoptera, Illacme plenipes, Mallos, Mesostigmata, Mexitlia, Mygalomorphae, Myriapoda, Myrmekiaphila, Myrmekiaphila tigris, Narceus, Oleaceae, Ologamasidae, Onymacris brainei, Onymacris unguicularis, Oxypygides, Perlidae, Platydesmida, Plecoptera, Polydesmida, Pompilidae, Pompilinae, Promyrmekiaphila, Pseudotriton ruber, Rhinocricidae, Salticidae, Siphoniulida, Siphonophorida, Siphonorhinidae, Spirobolida, Stasimopus, Tarsonops, Tenebrionidae, Theraphosidae, Theridiidae, Theridion, Ummidia, Xystodesmidae, Zipyge"
Simona,Bonelli,0000-0001-5185-8136,,"(Maculinea) nausithous (lepidoptera, Cacyreus marshalli, Coenonympha oedippus, Diptera, Euphydryas aurinia, Euphydryas maturna, Formicidae, Hesperiioidea, Hymenoptera, Lepidoptera, Lycaenidae, Maculinea arion, Melitaea britomartis, Microdon major (diptera, Microdon myrmicae, Myrmica, Nymphalidae, Papilio alexanor, Papilionidae, Papilionoidea, Phengaris, Phengaris (Maculinea) arion, Syrphidae, Wolbachia, Zerynthia, Zerynthia cassandra"
Francisco,Bonet-García,0000-0002-4627-1442,,"Passerine, Quercus pyrenaica"
Paulo,Bonifácio,0000-0001-9036-7145,,"Ampharetidae, Annelida, Anobothrus amourouxi, Branchiomma bairdi, Canalipalpata, Chaetozone corona, Cirratulidae, Crustacea, Demospongiae, Eunicidae, Isopoda, Loimia ramzega, Malmgrenia, Malmgrenia louiseae, Marphysa sanguinea, Orbiniidae, Paranthura japonica, Paranthuridae, Polychaeta, Polynoidae, Porifera, Sabellidae, Spio martinensis, Spio symphyta, Spionidae, Terebellidae"
Michael,Bonkowski,0000-0003-2656-1183,Germany,"Acanthamoeba, Acanthamoeba castellanii, Acanthamoebidae, Acidobacteria, Allovahlkampfia, Amoebozoa, Amphibia, Anura, Aporcelaimidae, Aporcelinus, Aporrectodea caliginosa, Arabidopsis thaliana, Arabidopsis thaliana microbiome, Belondiridae, Bodentieren: das, Brassicaceae, Centramoebida, Cercozoa, Chlamydophryidae, Cochliopodium, Cochliopodium plurinucleolum, Collembola, Cyrtodactylus, Cyrtodactylus rufford, Diaphoropodon archeri, Discosea, Dorylaimida, Echinosteliales, Fabaceae, Fisculla, Fiscullidae, Fusarium, Gekko japonicus, Gekkonidae, Glomeris marginata, Glomeromycota, Glomus intraradices, Gracixalus, Gracixalus quyeti, Gracixalus supercornutus, Hemiphyllodactylus, Heterolobosea, Himatismenida, Hordelymus europaeus, Kraken (incertae sedis, Kraken carinae, L. hyalinum, L. jennyae, Lecythium, Lecythium terrestris, Leptomyxida, Lolium perenne, Lumbricidae, Lumbricidae): microhabitats, Lumbricus terrestris, Microflora, Monadofilosa, Nematoda, Octolasion lacteum, Oryza sativa, Oxybelondiraparaperplexa, Parafumarolamoeba, Paxillus involutus, Pelobates fuscus, Picea abies, Plagiophrys, Poaceae, Protista, Protozoa, Pseudomonas fluorescens, R. cylindrica, Regenwurmfauna eines, Reptilia, Rhacophoridae, Rhacophorus maximus, Rhizaspis, Rhogostoma epiphylla, Rhogostomidae, Rhopalosiphum padi, Sauria, Scincidae, Sectonema, Sectonema caobangense, Shinisaurus crocodilurus, Sphenomorphus, Squamata, Testate, Thecofilosea, Thuringia, Trifolium repens, Triticum aestivum, Tylototriton vietnamensis, Vahlkampfiidae, Variosea"
Ian,Boomer,0000-0003-1276-2179,,"CASSARINA, Crustacea, Cyprideis torosa, Cytheruridae, Gomphocythere, Limnocytheridae, Metacopina, Ostracoda"
Boonsatien,Boonsoong,0000-0002-8166-0021,Thailand,"Atalophlebiinae, Branchinella thailandensis, Chiloscyllium punctatum, Chiromantis hansenae, Chironomidae, Coenagrionidae, Compsoneuriella, Cotesia plutellae, Diptera, Elasmobranchii, Ephemeroptera, Euphaea masoni, Euphaeidae, Gestroiella, Gilliesia, Gomphidae, Helicoverpa armigera, Heliogomphus selysi, Hemiscylliidae, Heptageniidae, Heteroptera, Insecta, Isonychia formosana, Jatropha gossypifolia, Lepidoptera, Leptophlebiidae, Microgomphus thailandica, Nanocladius asiaticus, Naucoridae, Noctuidae, Notacanthurus, Odonata, Onchobothriidae, Onychogomphus, Phoretic, Plutella xylostella, Prosopistoma annamense, Prosopistoma sinense, Pseudagrion pruinosum, Rhithrogena, Spodoptera exigua, Teloganodidae"
Jimmy,Borah,0000-0003-3984-6671,,"Carnivora, Felidae, Mammalia"
Eduardo,Borba,0000-0002-9881-8630,,""
Paulo,Borges,0000-0002-8448-7623,Portugal,"A. azoricus, Aphrodes, Aphrophoridae, Apidae, Arachnida, Araneae, Arthropoda, Athous, Bryophyta, Canariphantes, Carabidae, Catops, Cercopidae, Cholevinae, Cicadellidae, Coleoptera, Corvo, Cryptotermes brevis, Curculionidae, Danaus plexippus, Elateridae, Ericaceae, Gekkonidae, Harmonia axyridis, Hemiptera, Heteroptera, Hogna ingens, Homoptera, Hymenoptera, Insecta, Isoptera, Kalotermitidae, Leiodidae, Linnaeus, Linyphiidae, Lycosidae, Miridae, Mollusca, Odonata, Orthomus, Orthomus annae, Orthomus susanae, Orthotylus junipericola, Parasitica, Philaenus spumarius, Pittosporum undulatum, Platia, Poecilini, Pteridophyta, Pterostichinae, Reptilia, Reticulitermes flavipes, Rhinotermitidae, Sancus acoreensis, Spermatophyta, Staphylinidae, Tarentola mauritanica, Tarphius, Tetragnathidae, Trechinae, Trechus isabelae, Turinyphia cavernicola, Wolbachia, Zopheridae"
Barbara,Borges,0000-0002-5989-8287,,"Alveolata, Armophorea, Chlamydia trachomatis, Ciliophora, Hypotricha, Platyrrhini, Pseudokeronopsidae, Tetrakeronopsis silvanetoi"
Leonardo,Borges,0000-0001-9269-7316,Brazil,"Leguminosae, M. tocantina, Mimosa flabellifolia, Mimosa longepedunculata, Mimosa setosa, Mimosoideae, Piptadenia, Stryphnodendron"
Rodrigo,Borges,0000-0003-0663-0153,Brazil,""
Marcio,Borges-Martins,0000-0001-9328-5794,,"Amphibia, Amphisbaena albocingulata, Amphisbaena prunicolor, Amphisbaenia, Amphisbaenidae, Anura, Araucaria, Aves, Bufonidae, Calamodontophis paucidens, Caretta caretta, Cetartiodactyla, Chelonia mydas, Clelia hussami (mussurana, Colubridae, Cotingidae, Cururu, Cycloramphidae, Delphinidae, Dendropsophus nahdereri, Dermochelys coriacea, Elapidae, Hylidae, Lagenodelphis hosei, Melanophryniscus, Melanophryniscus macrogranulosus, Micrurus, Micrurus lemniscatus, Passeriformes, Philodryas patagoniensis, Phytotoma rutila, Pontoporia blainvillei, Proceratophrys bigibbosa, Proceratophrys brauni, Rana catesbeiana, Rhinella icterica, Serpentes, Squamata, Stenella, Sul herpetofauna, Tropiduridae, Tropidurus, Tropidurus catalanensis, Xenodontinae"
Kai,Borkenhagen,0000-0001-7533-0766,,"Actinopterygii, Carasobarbus, Carasobarbus albus, Cyprinidae, Cypriniformes, Gerreidae, Gerres limbatus, Hexactinellida, Hexasterophora, Teleostei, Torini"
Christopher,Borkent,0000-0001-9573-1663,Canada,"Acroceridae, Brachypeplus glaber, Chaoboridae, Copepoda, Culicomorpha, Diptera, Eulonchus, Eulonchus sapphirinus, Eulonchus tristis, Harpacticoidea, Hymenoptera, Leptomorphus, Leptomorphus sevciki, Mycetophilidae, Neoempheria, Polistes dominulus, Polistinae, Sabal, Sabal palmetto, Sciophilinae, Sciophilini, Tigriopus californicus, Vespidae"
Marcos Ricardo,Bornschein,0000-0002-6486-7055,,"Anura, Aves, Brachycephalidae, Brachycephalus, Brachycephalus brunneus, Brachycephalus pernix, Brachycephalus spp, Brachycephalus tridactylus, Bufonidae, Carpornis melanocephala, Catarina, Coletânea da avifauna, Cotingidae, Diamantina, Eleoscytalopus, Eucestoda, Formicivora, Ischnocnema paranaensis, Knipolegus aterrimus, Malacorhynchus speluncae, Mammalia, Melanophryniscus, Myrmotherula gularis, Ophiotaenia, Passeriformes, Perissodactyla, Podiceps occipitalis, Proteocephalidea, Pseudocolopteryx acutipennis, Psittacidae, Rhinocryptidae, Rhopias, Scytalopus, Scytalopus indigoticus, Scytalopus speluncae, Squamata, Stymphalornis acutirostris, Tapirus terrestris, Teiidae, Thamnophilidae, Touit melanonotus, Tyrannidae"
Alicja,Boroń,0000-0003-3888-617X,Poland,""
James,Borrell,0000-0001-9902-7681,United Kingdom of Great Britain and Northern Ireland,""
Philippe,Borsa,0000-0001-9469-8304,,"A. stolidus, Abudefduf sexfasciatus, Acanthopterygii, Anous minutus, Beryx splendens, Bivalvia, Carcharodon carcharias, Coleoptera, Corallium rubrum, Dasyatidae, Decapterus russelli, Engraulis encrasicolus, Engraulis spp, Galeocerdo, Gymnocranius oblongus, Gymnocranius satoi, Gymnocranius superciliosus, Himantura tutul, Himantura uarnak, Hypothenemus hampei, Lethrinidae, M. edulis, M. galloprovincialis, Mugilidae, Mugiliformes, Myliobatiformes, Myliobatoidei, Mytilidae, Mytilus, Mytilus edulis, Mytilus galloprovincialis, Mytilus spp, Mytilus trossulus, Neotrygon indica, Neotrygon kuhlii, Neotrygon trigonoides, Neotrygon vali, Prosobranchia, R. aureus, R. decussatus, Ruditapes decussatus, Ruditapes philippinarum, Scolytidae, Scomberomorus commerson, Siganidae, Soleidae, Sparoidea, Stenella longirostris, Tectus, Teleostei, Trochus, Tursiops spp, Veneridae"
Andrea,Borsodi,0000-0002-3738-7937,Hungary,"Aeromonas, Aknaszlatina, Aquipuribacter hungaricus, Bacillus, Bacillus alkalisediminis, Bacillus aurantiacus, Bacillus kiskunsagensis, Buda, Cellulomonas phragmiteti, Cladocera, Crustacea, Daphnia cucullata, Deinococcus budaensis, Desulfovibrionaceae, Diptera, Hypophthalmichthys spp, Ignatzschineria, Nesterenkonia pannonica, Nitrincola, Nitrincola alkalilacustris, Nitrincola schmidtii, Nocardioidaceae, Nocardioides daphniae, Pannonibacter phragmitetus, Phragmites australis, Phreatobacter oligotrophus, Sarcophagidae, Schineria, Thermophilic, Wohlfahrtia magnifica, Wohlfahrtiimonas chitiniclastica"
Silas,Bossert,0000-0002-3620-5468,,"Apidae, Apoidea, Bombus, Halictidae, Hymenoptera, Rophitinae"
Cornelio Andrés,Bota Sierra,0000-0002-6555-7913,Colombia,"Aeshnidae, Coenagrionidae, Corduliidae, Diaphlebia richteri, Epigomphus pechumani, Gomphidae, Gomphomacromia fallax, Heteragrion, Inpabasis nigridorsum, Libellulidae, Mesamphiagrion, Odonata, Oxyallagma colombianum, Rhionaeschna caligo, Zygoptera"
Juan Pablo,Botero,0000-0002-5547-7987,,"Andraegoidus, Aurivillius, Callichroma magnificum, Callichromatini, Cerambycidae, Cerambycinae, Cerambyx striatus, Chrysomeloidea, Chydarteres striatus, Coleoptera, Colobotheini, Disteniidae, Dorcadion glicyrrhizae striatum, Eburella pinima, Eburiini, Eburodacrys, Eburodacrys aenigma, Eburodacrys lanei, Eclipta, Eucharitolus, Insecta, Itatiaia, Lacordaire, Lamiinae, Lepturinae, Neoeutrypanus, Nyctonympha, Parandrinae, Physopleurus, Prioninae, Sympagus, Trachyderini, Vesperidae, Xylocaris"
Nathan,Bott,0000-0003-4049-9945,Australia,"Annelida, Aporocotylidae, Argyrosomus japonicus, Blenniidae, Bucephalidae, Caligidae, Caligus, Caligus chiastos, Carangidae, Caranx papuensis, Cardicola forsteri, Cheilodipterus macrodon, Ciliophora, Crassostrea gigas, Didymozoidae, Digenea, Dolichoenterinae, Epinephelinae, Grammatorcynus, Latris lineata, Miamiensis avidus, Neophoca cinerea, Perciformes, Plagiotremus, Platyhelminthes, Plectropomus, Prosorhynchoides, Prosorhynchoides apogonis, Prosorhynchoides thomasi, Sabellidae, Saccostrea glomerata, Scombridae, Serranidae, Siphonostomatoida, Teleostei, Thunnus, Thunnus maccoyi, Thunnus maccoyii, Thunnus thynnus, Trematoda"
Ana,Bottallo de Aguiar Quadros,0000-0003-2366-0004,Brazil,""
Estelle,Bourdon,0000-0002-5989-1982,France,"Aepyornis, Alcippe, Anseriformes, Apterygidae, Aves, Cerebavis cenomanica, Columbiformes, Coracii, Gastornis, Gastornithidae, Lithoptila abdounensis, Lithornis vulturinus, Odontopterygiformes, Ornithurae, Palaeognathae, Phaethontidae, Prophaethontidae, Raphus cucullatus, Ratitae, Timaliidae"
Thierry,Bourgoin,0000-0001-9277-2478,,"Fulgoridae, Fulgoromorpha, Hemiptera, Insecta, Kallitaxila granulata, Lycorma delicatula, Sternorrhyncha, Tropiduchidae, Zema gressitti"
Jessica,Bouwmeester,0000-0002-9221-537X,,"Acropora, Anthozoa, Cnidaria, Cyphastrea kausti, Goniastrea, Lobophylliidae, Merulina, Merulinidae, Pachyseris inattesa, Pocillopora verrucosa, Scapophyllia, Scleractinia, Sclerophyllia, Stylophora"
Rauri,Bowie,0000-0001-8328-6021,,"Aves, Batis, Batis mixta, Caffrogobius caffer, Campephagidae, Cercomela, Cercotrichas coryphaeus, Circus maurus, Clinidae, Clinus cottoides, Corvida, Dicrurus forficatus forficatus, Drongo, Francolinus nahani, Galliformes, Gobiidae, Haliotis midae, Henicorhina, Hipposideros caffer, Hyliota, Illadopsis, Lanius collaris, Malaconotidae, Malagasy avifauna, Modulatrix stictigula, Mormopterus acetabulosus (chiroptera, Muscicapidae, Muscicapinae, Myrmecocichla, Myrmecocichla arnotti, Mystacornis crossleyi, Nectarinia, Nectariniidae, Numida meleagris, Nycteris thebaica, Odontophoridae, Oenanthe, Oriolidae, Pachycephala pectoralis, Pachycephalidae, Parechinus angulosus, Paridae, Passerida, Passeriformes, Pelecanidae, Pelecanus onocrotalus, Perciformes, Phasianidae, Phyllastrephus debilis, Phyllastrephus flavostriatus, Pitohui, Platysteiridae, Ptilopachinae, Ptilopachus petrosus, Pycnonotidae, Scepomycter winifredae, Serinus, Sigelus silens, Stenostiridae, Strigidae, Strigiformes, Strix occidentalis caurina, Strix varia, T. helleri, Teleostei, Timaliidae, Troglodytidae, Turdus, Turdus olivaceus, Turdus smithi, Wallacea, Xenoperdix udzungwensis, Zosterops spp"
Geoffrey,Boxshall,0000-0001-8170-7734,United Kingdom of Great Britain and Northern Ireland,"(Linnaeus, Actinopterygii, Acusicola, Amphipoda, Anuretes, Arietellidae, Ascidicolidae, Assurger anzac, Asterocheres reginae, Asterocheridae, Balistes capriscus, Bogidiellidae, Bomolochidae, Branchiopoda, Branchiura, Bundera, Buproridae, Caesionidae, Calanoida, Caligidae, Caligus, Caligus fugu, Caligus ligusticus, Caligus productus, Caligus rogercresseyi, Caligus solea, Caligus temnodontis, Callionymidae, Centropages orsinii, Centropagidae, Cestoda, Chalimus, Chondracanthidae, Cirripedia, Clausocalanus furcatus, Copepoda, Copepods, Corynascidia herdmani, Crustacea, Cumacea, Cumoniscus, Cyclopidae, Cyclopinidae, Cyclopoida, Danielopolina, Dendrotionidae, Dermoergasilus, Diaptomidae, Dichelesthiidae, Digenea, Dissonidae, Doroixys, Enterocola, Enterognathidae, Epacteriscidae, Epinephelinae, Epinephelus aeneus, Ergasilidae, Ergasilus, Ergasilus briani, Ergasilus euripedesi, Ergasilus nordmann, Euchaeta rimana, Eucyclopinae, Gammaridea, Gammaridea) du, Gastrodelphyidae, Gastropoda, Gauchergasilus, Haemulidae, Haplostomella, Haplostomides, Hatschekiidae, Hirsutiidae, Iboyella, Isopoda, Jasmineira, Kabatarina pattersoni, L. sheni, L. simiaefacies, Laevicaudata, Leiognathidae, Lepeophtheirus, Lepeophtheirus elegans, Lepeophtheirus salmonis, Lernaea, Lernaeopodidae, Lernanthropidae, Lethrinidae, Lithognathus mormyrus, Lutjanidae, M. langi, Macrochironidae, Mantridae, Maxillopoda, Microdajus, Misophrioida, Monogenea, Mugilidae, Myodocopa, Naobranchia variabilis, Naso unicornis, Nematoda, Nemipteridae, Neoergasilus, Nicothoidae, Nipergasilus, Nothobomolochus, Notodelphyidae, Notodiaptomus, Notodiaptomus deitersi, Nucella lapillus, Nucella lapillus (gastropoda, Nucellicola holmanae, Nucellicolidae, O. atlantica, Ochridacyclops, Odontodiaptomus thomseni, Oncaea, Ostracoda, Paeonodes, Paracyclops, Paraergasilus, Paramacrochiron, Paramisophria, Paranotodelphys illgi, Pennellidae, Peracarida, Plectorhinchus lineatus, Poecilostomatoida, Pomatomus saltatrix, Prohatschekia, Pseudocaligus fugu, Pseudochama retroversa, Pseudocyclopidae, Pseudocyclops xiphophorus, Rhopilema hispidum, Sabellacheres, Sagum, Sagum posteli, Sarcotretes, Scalpellidae, Scorpaena elongata, Scutiger, Sebidae, Sebidae souterrains, Serranidae, Siganidae, Siphonostomatoida, Siriella okadai, Solea solea, Speleophriidae, Sphyriidae, Stegocephalidae, Stephidae, Stephos, Stygocyclopia balearica, Taeniastrotos, Takifugu pardalis, Takifugu rubripes, Tanaidacea, Tantulocarida, Thaumatocyprididae, Therodamas, Trichiuridae, Triconia, Triops cancriformis, Tripaphylus, Tripaphylus musteli"
Craig,Brabant,0000-0002-1752-5597,United States of America,""
Jan,Brabec,0000-0002-2636-414X,,"Adenocephalus pacificus, Bothriocephalus acheilognathi, Brachycladiidae, Brachycladium goliath, Caryophyllaeus, Caryophyllidea, Catostomidae, Centrolophidae, Centrolophus niger, Cestoda, Cobitidae, Cyprinidae, D. latum, Digenea, Diphyllobothrium, Diphyllobothrium dendriticum, Diphyllobothrium pacificum, Diplostomum, Eucestoda, Gangesia, Khawia, Monobothrium, Paracaryophyllaeus, Perciformes, Platyhelminthes, Promonobothrium, Proteocephalidea, Pseudophyllidea, Puntius, Teleostei, Tetracampos martinae, Trematoda"
Selina,Brace,0000-0003-2126-6732,,""
Janet,Bradford-Grieve,0000-0002-3580-1217,,"Acartia, Acartiidae, Acartiura, Aetideidae, Aetideus, Arietellidae, Augaptilidae, Bathypontiidae, Brachycalanus, Bradyidius, Calanidae, Calanoida, Calanoides carinatus, Calanus, Candaciidae, Cenognatha, Centropages aucklandkus, Centropagidae, Clausocalanidae, Copepoda, Crustacea, E. hyalinus, Eucalanidae, Eucalanus spinifer, Heterorhabdidae, Hyperbionychidae, Hyperbionyx athesphatos, Kaikoura, Larus novaehollandiae scopulinus, Lucicutiidae, Macruronus novaezelandiae, Mecynocera clausi, Mecynoceridae, Megacalanidae, Metridinidae, Neocalanus tonsus, Neoscolecithrix, Nyctiphanes australis (euphausiacea, Oithona similis, Oncaeidae, Paracalanidae, Paracalanus indicus wolfenden, Phaennidae, Phyllopodidae, Poecilostomatoida, Pontellidae, Pseudocyclopidae, Pseudodiaptomidae, Ryocalanidae, Scolecitrichidae, Spinocalanidae, Stephidae, Stephos, Sulcanidae, Temora turbinata, Temoridae, Tharybidae, Tharybis, Tortanidae, Xantharus, Xanthocalanus"
Sven,Bradler,0000-0001-9307-1032,Germany,"Clitarchus, Insecta, Necrosciinae, Orthoptera, Oxyartes lamellatus, Phasmatidae, Phasmatodea, Phyllium, Rhaphidophoridae, Tepakiphasma ngatikuri, Timema, Tribolium castaneum, Troglophilus neglectus"
Andreia,Braga Henriques,0000-0001-6335-2554,Portugal,"Actiniaria, Anthozoa, Antipatharia, Antipathella subpinnata, Caenogastropoda, Callogorgia verticillata, Coralliidae, Corallium spp, Eguchipsammia, Errina dabneyi, Hexacorallia, Hydrozoa, Isozoanthus primnoidus, Leiopathes, Necora puber, Octocorallia, Paromola cuvieri, Pedicularia sicula, Pediculariidae, Stylasteridae"
Fabian,Brambach,0000-0002-3203-2248,Germany,"Elaeocarpaceae, Elaeocarpus firdausii, Magnolia, Magnolia sulawesiana, Magnoliaceae, Myrtaceae, Syzygium"
Luis Henrique,Branco,0000-0002-7226-4027,Brazil,"Canastra, Chaetophorales, Chlorophyta, Chroococcales, Cyanoarbor, Cyanobacteria, Cyanophyceae, Cyanophyta, Doliocatella, Ecballocystis pulvinata, Entophysalidaceae, Gloeothece, Hormotilaceae, Itatiaia, Microcystaceae, Nostoc (Cyanobacteria), Nostocales, Oedogonium, Oscillatoriales, Phormidiaceae, Pulvinularia suecica, Rhodophyta, Sao paulo, Schizomeris leibleinii, Stichosiphon mangle, Stigonematales"
Simone Nunes,Brandão,0000-0002-3487-6129,Brazil,"Abyssocythere, Bairdioidea, Bairdoppilata labiata, Bairdoppilata simplex, Bradleya, Bryozoa, Bythopussella aculeata, Cirripedia, Cladocopina, Crustacea, Cytherella serratula, Cytheroidea, Dutoitella, Echinocythereis, Halocyprida, Harleya, Isopoda, Macrocyprididae, Macrocypridoidea, Macroscapha, Ostracoda, Oxycythereis, Platycopida, Polycopidae, Poseidonamicus, Verrucomorpha"
